Model,Accuracy,Norm_acc,Overall_corr,ECE_conf,ECE_conf-logits,ECE_logits,Dist_conf-logits,Overall_logits_mean,Overall_logits_std,Overall_confidence_mean,Overall_confidence_std,Match_corr,Match_logits_mean,Match_logits_std,Match_confidence_mean,Match_confidence_std,Mismatch_corr,Mismatch_logits_mean,Mismatch_logits_std,Mismatch_confidence_mean,Mismatch_confidence_std,Task,Num_choices,Model_name,Prompt,Model_family,Model_version,Model_type,Model_size
Qwen2.5-3B_base_45,0.8421052631578947,0.7894736842105262,0.4145242026799702,0.1421052631578948,0.0635297618414226,0.1624889812971416,0.1802133020535244,0.7635297618414226,0.1903696138504245,7.0,0.816496580927726,0.5352176905258106,0.8022024855017662,0.1615130747375438,7.0,0.8944271909999159,,0.5572752356529236,0.2339673658053284,7.0,0.0,conceptual_combinations,4,Qwen2.5-3B,base_45,qwen,2.5,base,3
Qwen2.5-3B_base_new_56,0.9473684210526316,0.9298245614035088,0.2595083452275912,0.2947368421052632,0.110205338503185,0.2107840619589153,0.2126984886457645,0.7628369174505535,0.1870792833787724,6.526315789473684,0.964274111134126,0.2545797396957389,0.7602393362257216,0.192150098865776,6.5,0.985184366143778,,0.8095933794975281,,7.0,,conceptual_combinations,4,Qwen2.5-3B,base_new_56,qwen,2.5,base,3
Qwen2.5-7B_base_45,0.7368421052631579,0.6491228070175438,0.7082717244785556,0.0684210526315789,0.0252026576744882,0.1599021177542836,0.115756124500291,0.7778342366218567,0.1643287363030539,7.526315789473684,1.1239029738980326,0.7729819554550668,0.8238620651619775,0.1607925430363086,7.571428571428571,1.0894095588038444,0.934261003208482,0.6489563167095185,0.0965119351348011,7.4,1.3416407864998738,conceptual_combinations,4,Qwen2.5-7B,base_45,qwen,2.5,base,7
Qwen2.5-7B_base_new_56,0.7368421052631579,0.6491228070175438,0.2269219447948815,0.131578947368421,0.1178629257177052,0.1727529309297862,0.2143482870212466,0.7526622963579077,0.1612838997979296,6.473684210526316,1.4669856112538158,-0.1013721855213379,0.7995590801749911,0.156408334729989,6.857142857142857,1.4600918230947435,0.9532372605692488,0.6213513016700745,0.0910979657847235,5.4,0.8944271909999157,conceptual_combinations,4,Qwen2.5-7B,base_new_56,qwen,2.5,base,7
Qwen2.5-14B_base_45,0.6842105263157895,0.5789473684210527,0.8188526343097062,0.1368421052631578,0.0918971798921885,0.158424005696648,0.1359258321706427,0.8052797364561182,0.2047509233763041,7.368421052631579,1.9496588395520065,0.9242169336690628,0.8983791424677923,0.1453615588588285,7.846153846153846,1.5730095277394145,0.7374911448210485,0.6035643567641577,0.1698476252843029,6.333333333333333,2.4221202832779936,conceptual_combinations,4,Qwen2.5-14B,base_45,qwen,2.5,base,14
Qwen2.5-14B_base_new_56,0.6842105263157895,0.5789473684210527,0.4441288315441181,0.1473684210526315,0.0810811340808868,0.2272756648691076,0.1942742891720978,0.7046703711936348,0.1975589470559351,6.421052631578948,1.5389675281277313,0.3541124097353277,0.7873242634993333,0.1474465729532415,6.615384615384615,1.5566235649883122,0.572311418761619,0.5255869378646215,0.1791138521585198,6.0,1.5491933384829668,conceptual_combinations,4,Qwen2.5-14B,base_new_56,qwen,2.5,base,14
Qwen3-4B-Base_base_45,0.6842105263157895,0.5789473684210527,-0.0714274562658862,0.0842105263157894,0.0504282800774825,0.191662405666552,0.2164236057186072,0.7395055921454179,0.2029099758706072,7.473684210526316,0.772328445721233,-0.1713813210812875,0.7527988232099093,0.2223775384255421,7.615384615384615,0.8697184926229041,0.3470846292195335,0.7107035915056864,0.1675759249076652,7.166666666666667,0.408248290463863,conceptual_combinations,4,Qwen3-4B-Base,base_45,qwen,3,base,4
Qwen3-4B-Base_base_new_56,0.5789473684210527,0.4385964912280702,0.2673536112825628,0.1473684210526315,0.04230824614826,0.1784496668138002,0.1669607161941371,0.7475714040429968,0.170591450967353,7.052631578947368,0.2294157338705617,0.3209986615886474,0.7999049750241366,0.140523077278627,7.090909090909091,0.3015113445777636,,0.6756127439439297,0.1907906125363802,7.0,0.0,conceptual_combinations,4,Qwen3-4B-Base,base_new_56,qwen,3,base,4
Qwen3-8B-Base_base_45,0.8947368421052632,0.8596491228070176,0.5299990117086626,0.2473684210526315,0.0958544235480459,0.20846583655006,0.2142593239516442,0.7537491603901512,0.2250200791339343,6.578947368421052,1.6771599497591227,0.5104272504182154,0.7558600692188039,0.2312795851552281,6.764705882352941,1.5218989685876771,1.0,0.7358064353466034,0.2341987839664858,5.0,2.8284271247461903,conceptual_combinations,4,Qwen3-8B-Base,base_45,qwen,3,base,8
Qwen3-8B-Base_base_new_56,0.7368421052631579,0.6491228070175438,0.1509586880037377,0.1210526315789474,0.0203692197799682,0.1732807096682096,0.2176307434330219,0.681640154437015,0.2218432194866473,6.684210526315789,0.7492686492653552,-0.200418956997627,0.7292021917445319,0.2097920555759627,6.857142857142857,0.5345224838248489,0.3179100102204253,0.5484664499759674,0.2198567861723837,6.2,1.095445115010332,conceptual_combinations,4,Qwen3-8B-Base,base_new_56,qwen,3,base,8
Qwen3-14B-Base_base_45,0.8421052631578947,0.7894736842105262,0.2771412639524152,0.2578947368421052,0.1858700008768785,0.1648607614793275,0.2756743230357633,0.770080527192668,0.2118689564716825,5.842105263157895,1.067872125861979,0.0728755954419606,0.8046334777027369,0.1933546669643139,6.0,0.8944271909999159,0.4444262372776075,0.5857981244723002,0.2512163034733096,5.0,1.7320508075688772,conceptual_combinations,4,Qwen3-14B-Base,base_45,qwen,3,base,14
Qwen3-14B-Base_base_new_56,0.7368421052631579,0.6491228070175438,0.1620131969344966,0.1263157894736842,0.1339949965476989,0.230940043926239,0.2548809251778884,0.76557394391612,0.1988548142706503,6.315789473684211,1.3764944032233708,0.3460742585707836,0.8412370256015232,0.1445216984007932,6.5,1.286019499792345,-0.6438593314285084,0.553717315196991,0.1841797418010439,5.8,1.6431676725154984,conceptual_combinations,4,Qwen3-14B-Base,base_new_56,qwen,3,base,14
Mistral-7B-v0.1_base_45,0.4736842105263157,0.2982456140350877,0.2297907315286564,0.3421052631578947,0.098417422018553,0.1963181997600354,0.1865948804894228,0.5910562621919733,0.1589347507016156,6.894736842105263,0.8752610304046613,0.227588310232107,0.6180088652504815,0.1742934564137397,7.555555555555555,0.7264831572567788,0.0622790113259858,0.5667989194393158,0.1487864786204544,6.3,0.4830458915396479,conceptual_combinations,4,Mistral-7B-v0.1,base_45,mistral,0.1,base,7
Mistral-7B-v0.1_base_new_56,0.5789473684210527,0.4385964912280702,,0.2210526315789474,0.2214023351669312,0.2001651619610033,0.2960385441240086,0.5785976648330688,0.2019043621514565,8.0,0.0,,0.615093775770881,0.1952345597340511,8.0,0.0,,0.5284155122935772,0.2130773629933032,8.0,0.0,conceptual_combinations,4,Mistral-7B-v0.1,base_new_56,mistral,0.1,base,7
Mistral-7B-v0.2_base_45,0.631578947368421,0.5087719298245613,0.0607850646494548,0.0210526315789474,0.0480865745167983,0.1961910175649742,0.1607239529397316,0.5624397412726754,0.153550561128117,6.105263157894737,0.4588314677411233,0.0150832251231897,0.5938032070795695,0.1498966182421257,6.166666666666667,0.5773502691896255,,0.5086737998894283,0.1555643221876197,6.0,0.0,conceptual_combinations,4,Mistral-7B-v0.2,base_45,mistral,0.2,base,7
Mistral-7B-v0.2_base_new_56,0.631578947368421,0.5087719298245613,-0.0227639560520699,0.1736842105263157,0.1752207263519889,0.1578010430461482,0.2458131416727228,0.5879371683848532,0.1689251782940858,7.631578947368421,0.4955946277833521,-0.1489350425505575,0.5941564614574114,0.1728194317688146,7.833333333333333,0.3892494720807615,0.0683603903406399,0.5772755231176104,0.1750480503128786,7.285714285714286,0.4879500364742665,conceptual_combinations,4,Mistral-7B-v0.2,base_new_56,mistral,0.2,base,7
Mistral-7B-v0.3_base_45,0.631578947368421,0.5087719298245613,0.0607837584653553,0.0210526315789474,0.0480865274604997,0.1961910803067056,0.1607240154595665,0.5624397883289739,0.1535505862843936,6.105263157894737,0.4588314677411233,0.0150816108618266,0.5938031921784083,0.1498967937692379,6.166666666666667,0.5773502691896255,,0.5086739531585148,0.1555641544135811,6.0,0.0,conceptual_combinations,4,Mistral-7B-v0.3,base_45,mistral,0.3,base,7
Mistral-7B-v0.3_base_new_56,0.631578947368421,0.5087719298245613,-0.0227651326685103,0.1736842105263157,0.1752206510619113,0.1578010681428407,0.2458131087606963,0.5879372436749307,0.1689251520386805,7.631578947368421,0.4955946277833521,-0.1489352612713865,0.5941565136114756,0.1728194817428082,7.833333333333333,0.3892494720807615,0.0683576789123488,0.5772756380694253,0.1750478883114218,7.285714285714286,0.4879500364742665,conceptual_combinations,4,Mistral-7B-v0.3,base_new_56,mistral,0.3,base,7
