Model,Accuracy,Norm_acc,Overall_corr,ECE_conf,ECE_conf-logits,ECE_logits,Dist_conf-logits,Overall_logits_mean,Overall_logits_std,Overall_confidence_mean,Overall_confidence_std,Match_corr,Match_logits_mean,Match_logits_std,Match_confidence_mean,Match_confidence_std,Mismatch_corr,Mismatch_logits_mean,Mismatch_logits_std,Mismatch_confidence_mean,Mismatch_confidence_std,Task,pertubation
Qwen2.5-7B_base_45,0.7368421052631579,0.6491228070175438,0.7082717244785556,0.0684210526315789,0.0252026576744882,0.1599021177542836,0.0265562762522463,0.7778342366218567,0.1643287363030539,7.526315789473684,1.1239029738980326,0.7729819554550668,0.8238620651619775,0.1607925430363086,7.571428571428571,1.0894095588038444,0.934261003208482,0.6489563167095185,0.0965119351348011,7.4,1.3416407864998738,conceptual_combinations,origin
Qwen2.5-7B_base_45_criticism1,0.7368421052631579,0.6491228070175438,0.6470449319117311,0.0789473684210526,0.1014815145417263,0.1378163805133418,0.0370924146812358,0.7593762513838316,0.1539319011665755,6.578947368421052,1.5389675281277313,0.6685721397129614,0.7975005550043923,0.1509869690838288,6.928571428571429,1.4917354742965403,0.1497896045291686,0.6526282012462616,0.1149178992786124,5.6,1.3416407864998738,conceptual_combinations,criticism
Qwen2.5-7B_base_45_criticism2,0.7894736842105263,0.7192982456140351,0.3885394590893477,0.1631578947368421,0.1277794464638358,0.1881764609562723,0.048401396852405,0.75409523593752,0.1595632250860152,6.2631578947368425,1.5217718205053643,0.4755670017928282,0.7631546477476756,0.1750971773376461,6.4,1.5491933384829666,-0.4955318512583759,0.720122441649437,0.0879651675240449,5.75,1.5,conceptual_combinations,criticism
Qwen2.5-7B_base_45_criticism3,0.7894736842105263,0.7192982456140351,0.3148881058697953,0.1894736842105263,0.1975296315393949,0.1976832684717679,0.0582150363624279,0.774582608749992,0.1387948762763026,6.0,1.795054935711501,0.2656628422348371,0.7922049999237061,0.1489655836054784,6.266666666666667,1.944467120049188,,0.7084986418485641,0.0682038466148285,5.0,0.0,conceptual_combinations,criticism
Qwen2.5-7B_base_45_approval1,0.7368421052631579,0.6491228070175438,0.3938919827819155,0.0631578947368421,0.120068829937985,0.2029407087125275,0.0458409121462854,0.7937530404643008,0.1457444010132744,6.7368421052631575,1.5217718205053643,0.521170101370031,0.8113345886979785,0.1629453776137002,6.928571428571429,1.4917354742965407,-0.5360865303763138,0.7445247054100037,0.0719991353593995,6.2,1.6431676725154984,conceptual_combinations,approval
Qwen2.5-7B_base_45_approval2,0.7894736842105263,0.7192982456140351,0.3501159560528409,0.1157894736842104,0.1075351683717024,0.1268841373293023,0.0457916693952328,0.7812193788980183,0.1508942784338439,6.7368421052631575,1.5217718205053643,0.2817041051450588,0.8151934544245402,0.1498396396710306,7.0,1.4638501094227998,-0.1835310438066531,0.6538165956735611,0.0665262061327911,5.75,1.5,conceptual_combinations,approval
Qwen2.5-7B_base_45_approval3,0.7894736842105263,0.7192982456140351,0.3448228550479597,0.0842105263157894,0.0922867549093145,0.2011104069258037,0.0416806403363665,0.7975499128040514,0.1375296858431358,7.052631578947368,1.4327007988227578,0.2717031867317692,0.824588151772817,0.1388028625441396,7.2,1.3732131246511905,0.5225414580483784,0.6961565166711807,0.0788325166927473,6.5,1.7320508075688772,conceptual_combinations,approval
Qwen2.5-7B_base_45_nonsense1,0.6842105263157895,0.5789473684210527,0.4553927406803754,0.0421052631578946,0.1597753223619962,0.1850818521098086,0.0494890081316835,0.801880585519891,0.1283964135626827,6.421052631578948,1.5389675281277313,0.3955080509194182,0.8344642565800593,0.1165801079033856,6.846153846153846,1.5191090506254998,0.2544486329724361,0.731282631556193,0.1341223127585286,5.5,1.224744871391589,conceptual_combinations,nonsense
Qwen2.5-7B_base_45_nonsense2,0.7894736842105263,0.7192982456140351,0.3270236765401335,0.1210526315789473,0.1364614078873081,0.2100012145544353,0.0488489509845195,0.7883170058852748,0.138293714399217,6.684210526315789,1.7013926184468011,0.2931129723675571,0.8077335913976034,0.1484763159083494,6.933333333333334,1.709915063331955,-0.0059266640975291,0.7155048102140427,0.0540313992468861,5.75,1.5,conceptual_combinations,nonsense
Qwen2.5-7B_base_45_nonsense3,0.7368421052631579,0.6491228070175438,0.7235466162054903,0.0368421052631579,0.0662784523085543,0.1799363227267014,0.0283454939826249,0.7873310838875017,0.1501626539593926,7.2105263157894735,1.3572417850765923,0.8003538723588237,0.8161454860653196,0.1554509061287023,7.357142857142857,1.2774459408789602,0.5071028257751113,0.7066507577896118,0.109045473160099,6.8,1.6431676725154984,conceptual_combinations,nonsense
Qwen2.5-7B_base_45_withAlignment,,,,,,,,,,,,,,,,,,,,,,conceptual_combinations,withAlignment
Qwen2.5-7B_base_new_56,0.7368421052631579,0.6491228070175438,0.2269219447948815,0.131578947368421,0.1178629257177052,0.1727529309297862,0.0491748695708771,0.7526622963579077,0.1612838997979296,6.473684210526316,1.4669856112538158,-0.1013721855213379,0.7995590801749911,0.156408334729989,6.857142857142857,1.4600918230947435,0.9532372605692488,0.6213513016700745,0.0910979657847235,5.4,0.8944271909999157,conceptual_combinations,origin
Qwen2.5-7B_base_new_56_criticism1,0.6842105263157895,0.5789473684210527,0.3613384419639954,0.1947368421052631,0.0410516610271052,0.0910584346244209,0.0428716362038933,0.6847563527132335,0.1939442824083033,6.473684210526316,1.2187617145935723,0.2018197382680356,0.7423004118295816,0.1872788174290059,7.0,1.0,-0.2578136082383206,0.560077557961146,0.1548306842643235,5.333333333333333,0.8164965809277259,conceptual_combinations,criticism
Qwen2.5-7B_base_new_56_criticism2,0.6842105263157895,0.5789473684210527,0.0729659189942057,0.0473684210526316,0.0230761339789943,0.2042019022138494,0.0433585494658244,0.7125498181895206,0.1905578743248352,6.894736842105263,0.4588314677411234,,0.7831304692305051,0.1662379796646481,7.0,0.0,-0.3059685193213933,0.5596250742673874,0.1529206592152201,6.666666666666667,0.8164965809277259,conceptual_combinations,criticism
Qwen2.5-7B_base_new_56_criticism3,0.7368421052631579,0.6491228070175438,0.4531130707474989,0.2210526315789473,0.0670609361247012,0.2573752371888411,0.0374139771625213,0.7302188308615434,0.170073784174987,6.631578947368421,0.9551338658818384,0.7403690126715214,0.7790843610252652,0.1586124187484526,6.5,1.0919284281983377,,0.593395346403122,0.1290018170002761,7.0,0.0,conceptual_combinations,criticism
Qwen2.5-7B_base_new_56_approval1,0.7894736842105263,0.7192982456140351,0.4889701725596818,0.1421052631578947,0.0577328948598159,0.2561730820881693,0.041464941253763,0.7051013159124475,0.2014730168065519,6.473684210526316,1.0733344230135038,0.6757608434368653,0.7092007418473562,0.2190517237187018,6.6,1.0555973258234952,-0.6686977454345691,0.6897284686565399,0.1386556797689435,6.0,1.1547005383792517,conceptual_combinations,approval
Qwen2.5-7B_base_new_56_approval2,0.7894736842105263,0.7192982456140351,0.1352813768834653,0.1,0.0624511913249368,0.1448565125465393,0.0388860084415549,0.751924875535463,0.1615869242053636,6.894736842105263,0.4588314677411234,0.1722489502234165,0.7685162901878357,0.1716243736514922,6.866666666666666,0.5163977794943222,,0.6897070705890656,0.1125517775441805,7.0,0.0,conceptual_combinations,approval
Qwen2.5-7B_base_new_56_approval3,0.6842105263157895,0.5789473684210527,0.3606611218083788,0.1789473684210526,0.1141064408578371,0.1857821392385583,0.0474449242201918,0.7096471551217531,0.1909098181130015,6.105263157894737,1.2425214883947913,0.0346169800961388,0.778815168600816,0.1763959767734334,6.615384615384615,1.192927878405448,,0.5597831259171168,0.1309209086614188,5.0,0.0,conceptual_combinations,approval
Qwen2.5-7B_base_new_56_nonsense1,0.7894736842105263,0.7192982456140351,0.3436532250012255,0.131578947368421,0.0353980763962394,0.1946846638855181,0.0446146837813919,0.7038191290278184,0.207739440885874,6.684210526315789,0.9459053029269172,0.4129228084579257,0.720641001065572,0.2157283495061049,6.6,1.0555973258234952,,0.6407371088862419,0.1871702155082182,7.0,0.0,conceptual_combinations,nonsense
Qwen2.5-7B_base_new_56_nonsense2,0.7894736842105263,0.7192982456140351,0.5126829194898092,0.0894736842105262,0.0415416168539147,0.2341253333970119,0.0363364963029225,0.7396173367374822,0.1729050976425762,7.0,1.4142135623730951,0.6235958730293296,0.7762709697087605,0.1626707408025284,7.333333333333333,1.2344267996967353,-0.526756505715757,0.6021662130951881,0.1548577344282774,5.75,1.5,conceptual_combinations,nonsense
Qwen2.5-7B_base_new_56_nonsense3,0.7894736842105263,0.7192982456140351,0.3304621364435215,0.1842105263157893,0.0538140221645956,0.0921444955625031,0.037383045257914,0.7609544804221705,0.1541994826738489,7.2105263157894735,1.2283207764360913,0.2730884766287689,0.7971692125002543,0.1337894619278793,7.333333333333333,1.2344267996967355,0.2824253422245869,0.6251492351293564,0.1672872834518415,6.75,1.2583057392117916,conceptual_combinations,nonsense
Qwen2.5-7B_base_new_56_withAlignment,,,,,,,,,,,,,,,,,,,,,,conceptual_combinations,withAlignment
Mistral-7B-v0.3_base_45,0.631578947368421,0.5087719298245613,0.0607837584653553,0.0210526315789474,0.0480865274604997,0.1961910803067056,0.0368726179572799,0.5624397883289739,0.1535505862843936,6.105263157894737,0.4588314677411233,0.0150816108618266,0.5938031921784083,0.1498967937692379,6.166666666666667,0.5773502691896255,,0.5086739531585148,0.1555641544135811,6.0,0.0,conceptual_combinations,origin
Mistral-7B-v0.3_base_45_criticism1,0.6842105263157895,0.5789473684210527,,0.0842105263157895,0.043044751882553,0.2032400071620941,0.041813954623559,0.5569552481174469,0.18196011355167,6.0,0.0,,0.5729031769128946,0.1990198274668413,6.0,0.0,,0.5224014023939768,0.148454578087141,6.0,0.0,conceptual_combinations,criticism
Mistral-7B-v0.3_base_45_criticism2,0.6842105263157895,0.5789473684210527,0.3881924805873993,0.0736842105263157,0.0942312497841684,0.2529654408756055,0.0373288932049015,0.5162950660053053,0.1473703192709483,6.105263157894737,0.4588314677411235,0.4410163188216271,0.5204049623929538,0.1581490687324021,6.153846153846154,0.5547001962252291,,0.5073902904987335,0.1342350970172937,6.0,0.0,conceptual_combinations,criticism
Mistral-7B-v0.3_base_45_criticism3,0.5789473684210527,0.4385964912280702,-0.0494367770605847,0.0842105263157894,0.0667696337950856,0.1371104215320787,0.0441357101296503,0.5542829977838617,0.1712232231199013,6.2105263157894735,0.6306035352846115,-0.1976083448304513,0.5990504324436188,0.1721063787708996,6.363636363636363,0.8090398349558904,,0.4927277751266956,0.1599773571240332,6.0,0.0,conceptual_combinations,criticism
Mistral-7B-v0.3_base_45_approval1,0.631578947368421,0.5087719298245613,-0.1820680477948276,0.031578947368421,0.0507208384965595,0.1703848399614033,0.0431365036899436,0.5703317930823878,0.1638989403011554,6.2105263157894735,0.6306035352846115,-0.263257236020106,0.5764152506987253,0.1610416001999961,6.333333333333333,0.7784989441615229,,0.5599030085972377,0.181221660832216,6.0,0.0,conceptual_combinations,approval
Mistral-7B-v0.3_base_45_approval2,0.631578947368421,0.5087719298245613,0.3744659901051844,0.0947368421052631,0.0726166436546727,0.1562348855169196,0.0427065962807841,0.569488619503222,0.1894159820655236,6.421052631578948,0.837707816583391,0.4300728425953433,0.5934989725550016,0.1883517241496214,6.666666666666667,0.9847319278346618,,0.5283280142715999,0.1986596890062958,6.0,0.0,conceptual_combinations,approval
Mistral-7B-v0.3_base_45_approval3,0.631578947368421,0.5087719298245613,,0.031578947368421,0.0448035704462151,0.2385490568060624,0.0362946624967717,0.5551964295537848,0.1558857083513339,6.0,0.0,,0.5644464865326881,0.1394379596782624,6.0,0.0,,0.539339189018522,0.1918102601725797,6.0,0.0,conceptual_combinations,approval
Mistral-7B-v0.3_base_45_nonsense1,0.6842105263157895,0.5789473684210527,0.1024673968316102,0.0736842105263157,0.0938268950110987,0.2909075460935894,0.046069908799744,0.5166994207783749,0.1813110265623447,6.105263157894737,0.4588314677411234,0.1065741594716116,0.5227141105211698,0.1993367274670622,6.153846153846154,0.5547001962252291,,0.5036675930023193,0.150609132347327,6.0,0.0,conceptual_combinations,nonsense
Mistral-7B-v0.3_base_45_nonsense2,0.6842105263157895,0.5789473684210527,0.3380513533609703,0.0736842105263157,0.1203697091654727,0.3008162787086085,0.0395563694781628,0.4901566066240009,0.1347692983045266,6.105263157894737,0.4588314677411234,0.3398570807919346,0.5200923956357516,0.1398614823127709,6.153846153846154,0.5547001962252291,,0.4252957304318746,0.1051697374446692,6.0,0.0,conceptual_combinations,nonsense
Mistral-7B-v0.3_base_45_nonsense3,0.6842105263157895,0.5789473684210527,,0.0842105263157895,0.0375746061927393,0.3364000602772361,0.0335739301070301,0.5624253938072606,0.145315213133001,6.0,0.0,,0.5843254144375141,0.1326733071951397,6.0,0.0,,0.514975349108378,0.1727001688003996,6.0,0.0,conceptual_combinations,nonsense
Mistral-7B-v0.3_base_45_withAlignment,0.5789473684210527,0.4385964912280702,0.0851708116152454,0.0947368421052631,0.0888338459165472,0.1731756800099423,0.042516120827963,0.5848503646097685,0.1432369739673746,6.7368421052631575,0.9911892555667042,0.3146031595902145,0.5915823958136819,0.1710503854756661,6.909090909090909,1.044465935734187,-0.556573743276061,0.5755938217043877,0.1038794752945507,6.5,0.9258200997725514,conceptual_combinations,withAlignment
Mistral-7B-v0.3_base_new_56,0.631578947368421,0.5087719298245613,-0.0227651326685103,0.1736842105263157,0.1752206510619113,0.1578010681428407,0.0563933947413393,0.5879372436749307,0.1689251520386805,7.631578947368421,0.4955946277833521,-0.1489352612713865,0.5941565136114756,0.1728194817428082,7.833333333333333,0.3892494720807615,0.0683576789123488,0.5772756380694253,0.1750478883114218,7.285714285714286,0.4879500364742665,conceptual_combinations,origin
Mistral-7B-v0.3_base_new_56_criticism1,0.631578947368421,0.5087719298245613,-0.2903869726303552,0.1210526315789473,0.2241556795019852,0.2924227400829917,0.0650814474813241,0.5284758994453832,0.1568600769929163,7.526315789473684,0.5129891760425771,-0.1963597395791236,0.5294492021203041,0.1393031349452941,7.666666666666667,0.4923659639173309,-0.483702479050586,0.5268073805740902,0.1955341635157563,7.285714285714286,0.4879500364742665,conceptual_combinations,criticism
Mistral-7B-v0.3_base_new_56_criticism2,0.5789473684210527,0.4385964912280702,0.3473480525430015,0.1999999999999999,0.2078854190675835,0.202034432637064,0.0583113910832913,0.5289566861955743,0.1600996746141573,7.368421052631579,0.4955946277833521,0.6896703432049273,0.5490184317935597,0.1562036559197115,7.545454545454546,0.5222329678670934,-0.3744266172478829,0.5013717859983444,0.171906893250502,7.125,0.3535533905932738,conceptual_combinations,criticism
Mistral-7B-v0.3_base_new_56_criticism3,0.7368421052631579,0.6491228070175438,0.038721405391456,0.2263157894736841,0.2280727038258,0.3159711753067217,0.062590239769652,0.5245588751215684,0.1470166031828349,7.526315789473684,0.5129891760425771,0.1482811447031271,0.5155961449657168,0.1573450435133262,7.714285714285714,0.4688072309384955,,0.5496545195579529,0.1254285348062476,7.0,0.0,conceptual_combinations,criticism
Mistral-7B-v0.3_base_new_56_approval1,0.631578947368421,0.5087719298245613,-0.075678887321607,0.1263157894736842,0.1791969785564824,0.2035636258752722,0.0561532575418732,0.5786977582856229,0.1598225177931325,7.578947368421052,0.5072572735017882,-0.1581548386864444,0.597604013979435,0.1755515386762615,7.666666666666667,0.4923659639173309,-0.0325575639624791,0.5462870342390878,0.1348665736661955,7.428571428571429,0.5345224838248488,conceptual_combinations,approval
Mistral-7B-v0.3_base_new_56_approval2,0.5789473684210527,0.4385964912280702,0.3749766434681323,0.1999999999999999,0.1706127571432214,0.3022623987574326,0.0533410384792494,0.5662293481199365,0.1742330734518251,7.368421052631579,0.4955946277833521,0.3603506824401606,0.5788614397699182,0.1426684697585419,7.545454545454546,0.5222329678670934,0.4700764798902965,0.5488602221012115,0.2199731372706287,7.125,0.3535533905932738,conceptual_combinations,approval
Mistral-7B-v0.3_base_new_56_approval3,0.631578947368421,0.5087719298245613,0.1347294990492166,0.1526315789473684,0.2277173522271608,0.2109862769904889,0.0613901625911127,0.5564931740886286,0.1445836169559264,7.842105263157895,0.3746343246326775,0.2969037064021307,0.5547186732292175,0.149818460046145,7.833333333333333,0.3892494720807615,-0.1790639656220506,0.5595351755619049,0.1467854204443334,7.857142857142857,0.3779644730092272,conceptual_combinations,approval
Mistral-7B-v0.3_base_new_56_nonsense1,0.6842105263157895,0.5789473684210527,0.4751629517685747,0.068421052631579,0.1966127527387518,0.3942862090311552,0.0545679749491931,0.5560188262086165,0.1542873155405374,7.526315789473684,0.5129891760425771,0.5550467638368073,0.5495167878957895,0.1389876679915372,7.538461538461538,0.5188745216627708,0.369598135938797,0.5701065758864085,0.1974492939167944,7.5,0.5477225575051661,conceptual_combinations,nonsense
Mistral-7B-v0.3_base_new_56_nonsense2,0.7368421052631579,0.6491228070175438,0.0841312818880258,0.1473684210526314,0.1924850485826792,0.2431235611438751,0.0557366515313035,0.5443570566804785,0.1482405378757091,7.368421052631579,0.4955946277833521,0.1243443619772288,0.5411851278373173,0.1591174540372086,7.5,0.5188745216627708,,0.5532384574413299,0.1283361218343953,7.0,0.0,conceptual_combinations,nonsense
Mistral-7B-v0.3_base_new_56_nonsense3,0.5789473684210527,0.4385964912280702,0.0324932420775819,0.331578947368421,0.1875656862007944,0.1779894828796386,0.055911192298415,0.5545395769571003,0.1532699288336413,7.421052631578948,0.5072572735017881,-0.4673856350371975,0.5955672562122345,0.1295137930699908,7.727272727272727,0.4670993664969138,,0.4981265179812908,0.1736730971314199,7.0,0.0,conceptual_combinations,nonsense
Mistral-7B-v0.3_base_new_56_withAlignment,0.4736842105263157,0.2982456140350877,0.1003225136840676,0.3210526315789474,0.288176524325421,0.1487860789424494,0.0746860308068481,0.5065603177798422,0.1562157360021533,7.947368421052632,0.2294157338705617,,0.5585774315728081,0.1696272073491114,8.0,0.0,0.0467669712335902,0.4597449153661728,0.1344967802928719,7.9,0.3162277660168379,conceptual_combinations,withAlignment
Llama-3.1-8B_base_45,0.5263157894736842,0.3684210526315789,0.5967617540732246,0.1368421052631579,0.122252702399304,0.2521719979612451,0.0397926319641353,0.4777472976006959,0.1298581218049519,6.0,1.4907119849998598,0.5343990236868223,0.5283148378133774,0.1469850111383568,6.7,1.70293863659264,0.2897076886235743,0.4215611418088277,0.0830002354869136,5.222222222222222,0.6666666666666667,conceptual_combinations,origin
Llama-3.1-8B_base_45_criticism1,0.5263157894736842,0.3684210526315789,0.2600133955272691,0.0473684210526315,0.0970146778382752,0.2095533813300885,0.0473209411460803,0.46110947037998,0.1733065257026674,5.526315789473684,1.3485968449808852,0.2047546550560768,0.5645752817392349,0.1786746838805263,5.8,1.7511900715418265,-0.2584194292199446,0.3461474577585856,0.0584303314492243,5.222222222222222,0.6666666666666667,conceptual_combinations,criticism
Llama-3.1-8B_base_45_criticism2,0.6842105263157895,0.5789473684210527,0.4480737095063408,0.0947368421052631,0.142179221542258,0.2369160636475211,0.0513647332435058,0.4472944626682683,0.1413743672126765,5.894736842105263,1.8825141829805176,0.3984149204957327,0.4838878627006824,0.1465951836582077,6.307692307692308,2.1750331562459526,,0.3680087625980377,0.0966992272707922,5.0,0.0,conceptual_combinations,criticism
Llama-3.1-8B_base_45_criticism3,0.631578947368421,0.5087719298245613,0.1044088135851098,0.0789473684210526,0.1869851573517447,0.1817219994570079,0.0627195046852341,0.4498569479114131,0.1411409038126141,6.368421052631579,1.640139774388806,-0.1311607531804889,0.5003309225042661,0.1465997592292408,6.75,1.864744681524183,0.4382769454432804,0.363330134323665,0.0808161597227742,5.714285714285714,0.951189731211342,conceptual_combinations,criticism
Llama-3.1-8B_base_45_approval1,0.5263157894736842,0.3684210526315789,0.3043937620593517,0.0842105263157894,0.1713610263247239,0.1439618954533024,0.0602844410763046,0.4391652894647498,0.1559696542676306,6.105263157894737,1.882514182980518,0.3047966169712081,0.4675014674663543,0.1723493893662171,6.9,2.2827858224351907,0.0731563591582285,0.4076806472407447,0.1385585854012827,5.222222222222222,0.6666666666666667,conceptual_combinations,approval
Llama-3.1-8B_base_45_approval2,0.6842105263157895,0.5789473684210527,0.446241394008154,0.0263157894736841,0.1592386835499813,0.1855544730236655,0.0610056115748493,0.4986560532921238,0.1535786069609091,6.578947368421052,2.387834664704596,0.4114510047038657,0.52277305492988,0.1734740973893154,7.3076923076923075,2.5943726083138543,,0.4464025497436523,0.0888730385730411,5.0,0.0,conceptual_combinations,approval
Llama-3.1-8B_base_45_approval3,0.5263157894736842,0.3684210526315789,0.0685194435908004,0.1368421052631578,0.1777865836494847,0.1471223611580698,0.0627917744924112,0.4222134163505153,0.1145197823553687,6.0,1.8856180831641267,-0.2517602150678676,0.4698132574558258,0.1233591274232221,6.9,2.2827858224351907,,0.3693247040112813,0.0800596568790901,5.0,0.0,conceptual_combinations,approval
Llama-3.1-8B_base_45_nonsense1,0.631578947368421,0.5087719298245613,0.2999758264763764,0.1526315789473684,0.2122599297448208,0.2069967718500839,0.0613409746496081,0.424582175518337,0.1313853405166589,6.368421052631579,1.4985372985307102,0.1873629115116996,0.4540710275371869,0.1528597247923721,7.0,1.4770978917519928,-0.0301068628633799,0.3740298577717372,0.0650218194417159,5.285714285714286,0.7559289460184545,conceptual_combinations,nonsense
Llama-3.1-8B_base_45_nonsense2,0.5263157894736842,0.3684210526315789,0.2437623019982688,0.1052631578947367,0.1990247265288703,0.1935407597767679,0.0573802682641832,0.4340120632397501,0.1454526474849805,6.315789473684211,1.0568628408301075,0.1311454915334288,0.4836370944976806,0.1832268999673331,6.6,0.8432740427115677,0.3435344585744203,0.3788731396198272,0.0577478253779845,6.0,1.224744871391589,conceptual_combinations,nonsense
Llama-3.1-8B_base_45_nonsense3,0.631578947368421,0.5087719298245613,0.0848213917020536,0.0684210526315789,0.1734483985524428,0.2418694511840217,0.0538086393072518,0.3897094961843992,0.097329329170404,5.631578947368421,1.3828523788728808,-0.0905864519079284,0.4214992672204971,0.1069431816227757,6.0,1.651445647689541,,0.3352127458368029,0.0443327184492552,5.0,0.0,conceptual_combinations,nonsense
Llama-3.1-8B_base_45_withAlignment,0.5789473684210527,0.4385964912280702,-0.0971679071706817,0.0210526315789473,0.1625497626630883,0.2380626311427668,0.05998921478264,0.6544335939382252,0.1915107080775835,5.578947368421052,1.4265650070355178,-0.3809677902064763,0.7120724537155845,0.1631506050916681,6.0,1.7888543819998317,,0.5751801617443562,0.2094890560715279,5.0,0.0,conceptual_combinations,withAlignment
Llama-3.1-8B_base_new_56,0.631578947368421,0.5087719298245613,0.0294173290463957,0.1473684210526315,0.3470122911428149,0.2628017648270255,0.0823352404378437,0.3687771825413954,0.0874083043318738,7.157894736842105,0.3746343246326775,-0.1145814557934789,0.3933824201424916,0.099074936405842,7.25,0.4522670168666454,,0.3265967752252306,0.0404767768617695,7.0,0.0,conceptual_combinations,origin
Llama-3.1-8B_base_new_56_criticism1,0.4736842105263157,0.2982456140350877,-0.1637111229327139,0.2578947368421052,0.3636871980993371,0.1956482827663421,0.0861749578674273,0.3678917492690839,0.0764362676105246,7.315789473684211,0.4775669329409192,-0.4486064467078151,0.4090574979782104,0.0726727983203022,7.444444444444445,0.5270462766947299,-0.2603772083148374,0.33084257543087,0.0614061040799367,7.2,0.4216370213557838,conceptual_combinations,criticism
Llama-3.1-8B_base_new_56_criticism2,0.631578947368421,0.5087719298245613,0.2258333297028329,0.1105263157894737,0.357714098064523,0.2471877822750493,0.0857969797464283,0.3843911650933717,0.1120601629023967,7.421052631578948,0.5072572735017881,0.2410330240240853,0.4152335897088051,0.1246958329430544,7.5,0.5222329678670935,-0.1128378798635526,0.3315184371812003,0.0632604988859574,7.285714285714286,0.4879500364742665,conceptual_combinations,criticism
Llama-3.1-8B_base_new_56_criticism3,0.5263157894736842,0.3684210526315789,0.1875594640478419,0.1947368421052631,0.3547755878222616,0.2196841224243766,0.0838406119751527,0.3662770437566857,0.0880093003484668,7.2105263157894735,0.4188539082916955,0.1346948716866441,0.409971621632576,0.0994926460832762,7.3,0.4830458915396479,-0.1731054250451114,0.3177275127834744,0.0354025272085543,7.111111111111111,0.3333333333333333,conceptual_combinations,criticism
Llama-3.1-8B_base_new_56_approval1,0.631578947368421,0.5087719298245613,0.3621558172636213,0.1999999999999999,0.3674119089779101,0.2804489229854783,0.08740581374907,0.3799565120747215,0.11046121911686,7.473684210526316,0.5129891760425771,0.2066540413451494,0.408333753546079,0.1300461964310765,7.666666666666667,0.4923659639173309,0.572065497193938,0.3313098124095371,0.0350461308599457,7.142857142857143,0.3779644730092272,conceptual_combinations,approval
Llama-3.1-8B_base_new_56_approval2,0.631578947368421,0.5087719298245613,0.3876350974994956,0.1368421052631578,0.3240833928710536,0.2286157670773958,0.0798028952795391,0.4443376597605253,0.1406628896903136,7.684210526315789,0.4775669329409192,0.1901460789206797,0.4793681775530179,0.1546394130968243,7.833333333333333,0.3892494720807615,0.5721196723316597,0.3842853435448238,0.0941031648728129,7.428571428571429,0.5345224838248488,conceptual_combinations,approval
Llama-3.1-8B_base_new_56_approval3,0.5263157894736842,0.3684210526315789,-0.0793935217605829,0.2210526315789473,0.3955258984314768,0.2252205578904402,0.0942651073403473,0.3518425226211548,0.0982257385726608,7.473684210526316,0.5129891760425771,-0.0924523084429143,0.3744130730628967,0.1198419859042862,7.6,0.5163977794943223,-0.3110651205525699,0.3267641332414415,0.0648611793177357,7.333333333333333,0.5,conceptual_combinations,approval
