Model,Accuracy,Norm_acc,Overall_corr,ECE_conf,ECE_conf-logits,ECE_logits,Dist_conf-logits,Overall_logits_mean,Overall_logits_std,Overall_confidence_mean,Overall_confidence_std,Match_corr,Match_logits_mean,Match_logits_std,Match_confidence_mean,Match_confidence_std,Mismatch_corr,Mismatch_logits_mean,Mismatch_logits_std,Mismatch_confidence_mean,Mismatch_confidence_std,Task,pertubation
Qwen2.5-7B-Instruct_instruct_2,0.8571428571428571,0.8095238095238094,0.2319319804445099,0.2142857142857142,0.1568638516240663,0.1806539797092652,0.1335671904897803,0.9453271346096288,0.1174826432506227,6.0,3.8430756913220914,0.3270298094928809,0.937288552503542,0.1257420612841873,6.416666666666667,3.7284735685686647,-1.0,0.9935586272461484,0.0088613723441538,3.5,4.949747468305833,conceptual_combinations,origin
Qwen2.5-7B-Instruct_instruct_2_criticism1,0.7857142857142857,0.7142857142857143,0.7367475087887801,0.0857142857142856,0.0852913976173711,0.2034766756692628,0.1442724328481731,0.9093145262620164,0.145158754931964,4.857142857142857,4.400299690093547,0.7819066979003585,0.9407498606224456,0.1266100573381055,6.181818181818182,4.020402512639296,,0.7940516336071105,0.1773360955406279,0.0,0.0,conceptual_combinations,criticism
Qwen2.5-7B-Instruct_instruct_2_criticism2,0.7272727272727273,0.6363636363636364,0.3854502781433544,0.0818181818181818,0.0346127463266717,0.1912921562548197,0.1605041551037636,0.918564883527547,0.1421223173754283,5.727272727272728,4.584559064750047,0.9524322044882556,0.9797153158747248,0.0375308884979703,6.875,4.290770826519903,-0.331059596688041,0.7554970639350723,0.2030261232595259,2.6666666666666665,4.618802153517007,conceptual_combinations,criticism
Qwen2.5-7B-Instruct_instruct_2_criticism3,0.7777777777777778,0.7037037037037037,0.9696539993782411,0.0888888888888888,0.0657982355669653,0.2318943811977723,0.1127500271646903,0.9282471928492084,0.1420466796919204,7.111111111111111,4.106228331584973,0.9784362610110504,0.947582385079505,0.1384586955733558,8.0,3.605551275463989,1.0,0.8605740200431709,0.1860563010687671,4.0,5.656854249492381,conceptual_combinations,criticism
Qwen2.5-7B-Instruct_instruct_2_approval1,0.8333333333333334,0.7777777777777778,0.4866289349312893,0.1333333333333333,0.0620954092432207,0.2232567029837533,0.101465962619484,0.9268956143422136,0.1485936251167469,7.333333333333333,3.498917581542075,0.482395151453752,0.9183778305653184,0.1623047534307664,7.2,3.852848873813304,,0.9694845332266911,0.0379745227028088,8.0,0.0,conceptual_combinations,approval
Qwen2.5-7B-Instruct_instruct_2_approval2,0.8333333333333334,0.7777777777777778,0.789944620726681,0.0999999999999999,0.0429339755800287,0.1701872461199854,0.1295814248409852,0.9104397098234568,0.1469268559073055,6.166666666666667,4.58918359412718,0.7731817861382712,0.9424215333628558,0.1172587448285496,6.6,4.575295983139597,1.0,0.750530592126461,0.2287919786435905,4.0,5.656854249492381,conceptual_combinations,approval
Qwen2.5-7B-Instruct_instruct_2_approval3,0.9230769230769232,0.8974358974358975,0.5686382506652932,0.1461538461538461,0.0632598959507094,0.0447909586538651,0.0935814721463478,0.8924948565643874,0.1853062486064999,7.153846153846154,3.625055260409921,0.7235824598489077,0.9203445715588904,0.1626670430185707,7.083333333333333,3.776923551668939,,0.5582982766303524,,8.0,,conceptual_combinations,approval
Qwen2.5-7B-Instruct_instruct_2_nonsense1,0.8181818181818182,0.7575757575757577,0.468905874800132,0.1727272727272727,0.055714887101219,0.0900571186296012,0.1053057984637947,0.8914954166927774,0.1662925132078647,7.181818181818182,3.6005050150827955,0.5794053436126396,0.908063278875604,0.1594643483445413,7.0,4.0,,0.8169400368700581,0.2439539229229216,8.0,0.0,conceptual_combinations,nonsense
Qwen2.5-7B-Instruct_instruct_2_nonsense2,0.8181818181818182,0.7575757575757577,-0.1179833400502611,0.1818181818181818,0.1465986919692268,0.1833939261119777,0.1247638134409382,0.9816936583770104,0.0357389356165862,7.454545454545454,3.503245248726853,-0.1236275562335849,0.9860966804807654,0.0359692617558545,8.222222222222221,2.7738861628488727,-1.0,0.9618800589101136,0.0382462544504814,4.0,5.656854249492381,conceptual_combinations,nonsense
Qwen2.5-7B-Instruct_instruct_2_nonsense3,0.9166666666666666,0.8888888888888888,0.7823581151361537,0.0749999999999999,0.0735284481159669,0.1192404072994594,0.1256556770729864,0.9583511148315442,0.0907798727821626,6.75,4.114829058638789,0.7812623403418049,0.955891184181569,0.0947903329268587,6.545454545454546,4.25120303828543,,0.9854103519812708,,9.0,,conceptual_combinations,nonsense
